penalty,subgroup_rule,n_literals,n_sub,n_comp,size_percent,events_sub,events_comp,rate_sub,rate_comp,rate_pop,IDR_vs_pop,IDR_CI95_low,IDR_CI95_high,z_IDR_vs_pop,p_IDR_vs_pop,RR_vs_comp,RR_CI95_low,RR_CI95_high,z_RR_vs_comp,p_RR_vs_comp,score,events_pop,n_pop
0.5,friedewald ldl c phase1[2.73 - 5.86] AND hdl phase1[1.17 - 1.27] AND waist hip r c phase1[0.83 - 9.02] AND waist circumference phase1[823.0 - 1480.0] AND smoking status c phase1[0] AND triglycerides phase1[1.19 - 11.81],6,13,1926,0.67,29.0,932.0,2.230769230769231,0.48390446521287644,0.4956162970603404,4.501,3.1108190051964764,6.512434831503604,7.981370469133515,1.4471739477656957e-15,4.609937273027402,3.185573231339862,6.671176619697065,8.104561204552379,5.293621678481261e-16,15.241,961.0,1939
1.0,triglycerides phase1[0.73 - 11.81] AND bmi c phase1[25.77 - 62.8] AND smoking status c phase1[0] AND sex[0] AND waist hip r c phase1[0.87 - 9.02] AND egfr c phase1[13.94 - 114.34],6,295,1644,15.21,260.0,701.0,0.8813559322033898,0.4263990267639903,0.4956162970603404,1.778,1.5506052440714666,2.039436832280773,8.234860144391245,1.797675213858592e-16,2.0669745400033848,1.792773655525681,2.383113861503864,9.999355991432486,1.5339133607599122e-23,22.06,961.0,1939
1.5,bmi c phase1[18.95 - 62.8] AND waist hip r c phase1[0.87 - 9.02] AND sex[0] AND triglycerides phase1[0.73 - 11.81] AND egfr c phase1[13.94 - 114.34],5,414,1525,21.35,339.0,622.0,0.8188405797101449,0.4078688524590164,0.4956162970603404,1.652,1.4597634351058697,1.8699288234437283,7.9482070538567555,1.892301914280066e-15,2.0076075306398247,1.7587873631038162,2.2916289266309824,10.323597478451546,5.511841922148019e-25,19.643,961.0,1939
2.5,triglycerides phase1[0.83 - 11.81] AND waist hip r c phase1[0.87 - 9.02] AND sex[0],3,393,1546,20.27,315.0,646.0,0.8015267175572519,0.4178525226390686,0.4956162970603404,1.617,1.423992186080739,1.8366958447156594,7.404239491952378,1.3190418917206608e-13,1.9182048070332993,1.6764800367022548,2.1947828791111,9.478743343514601,2.5736368176077446e-21,16.072,961.0,1939
3.5,waist hip r c phase1[0.97 - 9.02],1,190,1749,9.8,170.0,791.0,0.8947368421052632,0.45225843339050886,0.4956162970603404,1.805,1.53364524870462,2.125076507200548,7.099734736640591,1.2499657044886077e-12,1.9783751413933064,1.6762891787519802,2.334900355914119,8.070696610824763,6.989820718321947e-16,13.238,961.0,1939
5.5,egfr c phase1[13.94 - 74.75],1,194,1745,10.01,155.0,806.0,0.7989690721649485,0.46189111747851,0.4956162970603404,1.612,1.3605207933571812,1.9101329472341955,5.516799458145426,3.452289953863786e-08,1.7297779540047582,1.4565777511875064,2.0542204271083278,6.2480820871895295,4.1552329364836276e-10,4.472,961.0,1939
7.5,bmi c phase1[27.49 - 62.8],1,581,1358,29.96,374.0,587.0,0.6437177280550774,0.4322533136966127,0.4956162970603404,1.299,1.1525820610877837,1.4636186221949634,4.290019569578434,1.786573746667876e-05,1.4892140965907923,1.3080945563359345,1.6954115547249342,6.019318698496197,1.751527143360752e-09,2.067,961.0,1939
