penalty,subgroup_rule,n_literals,n_sub,n_comp,size_percent,events_sub,events_comp,rate_sub,rate_comp,rate_pop,IDR_vs_pop,IDR_CI95_low,IDR_CI95_high,z_IDR_vs_pop,p_IDR_vs_pop,RR_vs_comp,RR_CI95_low,RR_CI95_high,z_RR_vs_comp,p_RR_vs_comp,score,events_pop,n_pop
0.5,egfr c phase1[87.31 - 197.09] AND sex[1] AND hdl phase1[0.18 - 1.85] AND bmi c phase1[12.97 - 25.77] AND waist hip r c phase1[0.65 - 0.94],5,492,1447,25.37,127.0,834.0,0.258130081300813,0.5763648928818245,0.4956162970603404,0.521,0.4328361623780263,0.6267041078384746,-6.909108930314014,4.877073680720249e-12,0.44785878614181823,0.37158695096275174,0.5397861571961632,-8.433127945327147,3.365464067975736e-17,29.014,961.0,1939
1.5,hdl phase1[0.18 - 1.53] AND bmi c phase1[12.97 - 25.77] AND egfr c phase1[87.31 - 197.09] AND waist hip r c phase1[0.65 - 0.94],4,640,1299,33.01,177.0,784.0,0.2765625,0.6035411855273287,0.4956162970603404,0.558,0.4753604415567054,0.6550468909740924,-7.132104737770113,9.884560941164426e-13,0.45823301977040815,0.3892690086049388,0.5394148924426942,-9.377513125310934,6.7547070243468896e-21,24.474,961.0,1939
2.0,egfr c phase1[74.75 - 114.34] AND sex[1] AND triglycerides phase1[0.21 - 1.38] AND hdl phase1[0.18 - 1.85] AND waist hip r c phase1[0.65 - 0.97],5,454,1485,23.41,124.0,837.0,0.27312775330396477,0.5636363636363636,0.4956162970603404,0.551,0.45708457305360695,0.6644219074485146,-6.244585823149462,4.2492456460874195e-10,0.4845814977973569,0.4012900727975009,0.5851608198791011,-7.528909471602312,5.116584025990069e-14,19.758,961.0,1939
2.5,hdl phase1[0.18 - 1.85] AND waist hip r c phase1[0.65 - 0.94] AND triglycerides phase1[0.21 - 1.38] AND sex[1],4,531,1408,27.39,151.0,810.0,0.2843691148775895,0.5752840909090909,0.4956162970603404,0.574,0.4833058320936574,0.6811639565194306,-6.346064189827907,2.2089309822207325e-10,0.49431075771314315,0.41547797240610274,0.5881012747220018,-7.948886873130304,1.8819480632173484e-15,17.486,961.0,1939
3.0,hdl phase1[0.18 - 1.85] AND sex[1] AND triglycerides phase1[0.21 - 1.38] AND waist hip r c phase1[0.65 - 0.94],4,531,1408,27.39,151.0,810.0,0.2843691148775895,0.5752840909090909,0.4956162970603404,0.574,0.4833058320936574,0.6811639565194306,-6.346064189827907,2.2089309822207325e-10,0.49431075771314315,0.41547797240610274,0.5881012747220018,-7.948886873130304,1.8819480632173484e-15,15.486,961.0,1939
3.5,waist circumference phase1[560.0 - 860.0] AND egfr c phase1[87.31 - 197.09] AND hdl phase1[0.8 - 1.85],3,624,1315,32.18,183.0,778.0,0.2932692307692308,0.5916349809885931,0.4956162970603404,0.592,0.5052041069160619,0.6930666008689867,-6.505705051602002,7.732982141786166e-11,0.4956928514929801,0.4219674188838381,0.5822994667957591,-8.542131794614713,1.3176801932327478e-17,14.83,961.0,1939
4.0,waist hip r c phase1[0.65 - 0.94] AND sex[1] AND hdl phase1[0.18 - 1.53],3,563,1376,29.04,169.0,792.0,0.30017761989342806,0.5755813953488372,0.4956162970603404,0.606,0.514316054488538,0.7132394906914232,-6.011379105541967,1.839516661741376e-09,0.5215207133501982,0.44171774896062566,0.6157412852285997,-7.682975206368485,1.5543568073092043e-14,12.45,961.0,1939
6.0,egfr c phase1[87.31 - 197.09] AND bmi c phase1[12.97 - 25.77] AND waist hip r c phase1[0.65 - 0.94] AND hdl phase1[0.18 - 1.53],4,640,1299,33.01,177.0,784.0,0.2765625,0.6035411855273287,0.4956162970603404,0.558,0.4753604415567054,0.6550468909740924,-7.132104737770113,9.884560941164426e-13,0.45823301977040815,0.3892690086049388,0.5394148924426942,-9.377513125310934,6.7547070243468896e-21,6.474,961.0,1939
8.5,sex[1],1,885,1054,45.64,358.0,603.0,0.40451977401129946,0.5721062618595826,0.4956162970603404,0.816,0.722916664552076,0.9215101403179812,-3.2801503665181575,0.0010375177363893605,0.7070710477743111,0.6203961965204853,0.8058551445103096,-5.195140093863388,2.0456573204033294e-07,0.151,961.0,1939
