penalty,subgroup_rule,n_literals,n_sub,n_comp,size_percent,events_sub,events_comp,rate_sub,rate_comp,rate_pop,IDR_vs_pop,IDR_CI95_low,IDR_CI95_high,z_IDR_vs_pop,p_IDR_vs_pop,RR_vs_comp,RR_CI95_low,RR_CI95_high,z_RR_vs_comp,p_RR_vs_comp,score,events_pop,n_pop
1.5,egfr c phase1[81.67 - 163.56] AND bmi c phase1[14.53 - 21.46] AND hdl phase1[0.29 - 1.68] AND cholesterol 1 phase1[0.3 - 4.52],4,173,1222,12.4,63.0,1038.0,0.36416184971098264,0.8494271685761048,0.789247311827957,0.461,0.3579418358969889,0.5947715802973425,-5.970865226683065,2.359986395033173e-09,0.4287146246115807,0.33244396913622243,0.5528637798225063,-6.527398638221738,6.692176546669445e-11,14.506,1101.0,1395
1.0,friedewald ldl c phase1[-3.31 - 3.1] AND triglycerides phase1[0.25 - 1.5] AND waist hip r c phase1[0.59 - 0.88] AND sex[1] AND hdl phase1[0.29 - 1.68],5,165,1230,11.83,57.0,1044.0,0.34545454545454546,0.848780487804878,0.789247311827957,0.438,0.3353896456422719,0.5712233469226233,-6.082355510188615,1.1842960897735455e-09,0.40700104493207945,0.3117540517318168,0.5313478675116086,-6.608828687676427,3.873726670907909e-11,17.269,1101.0,1395
2.0,bmi c phase1[14.53 - 24.45] AND egfr c phase1[81.67 - 163.56],2,478,917,34.27,256.0,845.0,0.5355648535564853,0.9214830970556162,0.789247311827957,0.679,0.5922919080616561,0.7774314676819924,-5.588357525674443,2.292273319644809e-08,0.5811987819068604,0.5053556820700779,0.6684243119743463,-7.6064925346491075,2.816344891046494e-14,14.512,1101.0,1395
2.5,triglycerides phase1[0.25 - 1.15] AND friedewald ldl c phase1[-3.31 - 2.83] AND bmi c phase1[14.53 - 22.99],3,310,1085,22.22,148.0,953.0,0.4774193548387097,0.8783410138248848,0.789247311827957,0.605,0.5095217776140223,0.7181432277794526,-5.7416770729686295,9.374346284467639e-09,0.5435466946484785,0.45711989598632374,0.6463140455214959,-6.900123465299297,5.1957362056104386e-12,10.955,1101.0,1395
7.0,bmi c phase1[14.53 - 22.99],1,421,974,30.18,239.0,862.0,0.5676959619952494,0.8850102669404517,0.789247311827957,0.719,0.6254018238333061,0.8272680354378512,-4.617292185608078,3.887796921570501e-06,0.641456922254493,0.5558276207330779,0.7402780426160276,-6.07372120308222,1.2497963727823412e-09,5.037,1101.0,1395
0.5,egfr c phase1[4.18 - 111.93] AND ses site quintile c phase1[1 OR 4 OR 5] AND waist hip r c phase1[0.81 - 0.94] AND friedewald ldl c phase1[-3.31 - 2.56] AND mvpa c phase1[-0.0 - 2460.0] AND hdl phase1[0.92 - 1.68] AND triglycerides phase1[0.25 - 0.46],9,24,1371,1.72,0.0,1101.0,0.0,0.8030634573304157,0.789247311827957,0.0,,,,,0.0,,,,,13.437,1101.0,1395
