penalty,subgroup_rule,n_literals,n_sub,n_comp,size_percent,events_sub,events_comp,rate_sub,rate_comp,rate_pop,IDR_vs_pop,IDR_CI95_low,IDR_CI95_high,z_IDR_vs_pop,p_IDR_vs_pop,RR_vs_comp,RR_CI95_low,RR_CI95_high,z_RR_vs_comp,p_RR_vs_comp,score,events_pop,n_pop
0.05,cholesterol 1 phase1[3.91 - 9.97] AND occupation phase1[-999 OR 1 OR 3 OR 4] AND waist hip r c phase1[0.91 - 1.16] AND diabetes history phase1[1] AND friedewald ldl c phase1[1.89 - 7.6] AND mvpa c phase1[-0.0 - 2460.0] AND triglycerides phase1[1.0 - 5.34],10,35,1360,2.51,72.0,1029.0,2.057142857142857,0.7566176470588235,0.789247311827957,2.606,2.053554615266222,3.3082355469551614,7.87541622784315,3.396103595453634e-15,2.7188671386922114,2.141020293170111,3.4526709258392985,8.204909021581662,2.307655687007892e-16,22.71,1101.0,1395
1.6,waist hip r c phase1[0.91 - 1.16] AND cholesterol 1 phase1[3.91 - 9.97] AND diabetes history phase1[1] AND triglycerides phase1[1.0 - 5.34],4,41,1354,2.94,79.0,1022.0,1.9268292682926829,0.7548005908419497,0.789247311827957,2.441,1.9430516951776433,3.0674386907692957,7.663010302111192,1.816247702095673e-14,2.552765977757625,2.0305281752689974,3.2093197309776524,8.025408966639901,1.011882696433725e-15,15.63,1101.0,1395
0.1,waist hip r c phase1[0.91 - 1.16] AND cholesterol 1 phase1[3.91 - 9.97] AND diabetes history phase1[1] AND friedewald ldl c phase1[1.89 - 7.6] AND mvpa c phase1[-0.0 - 2460.0] AND triglycerides phase1[1.0 - 5.34],6,36,1359,2.58,73.0,1028.0,2.0277777777777777,0.7564385577630611,0.789247311827957,2.569,2.0273559182716756,3.256000753976784,7.807578599553522,5.829712079999175e-15,2.680690661478599,2.1141829842829147,3.3989973791109374,8.140930424220972,3.92251763415627e-16,22.272,1101.0,1395
1.0,waist hip r c phase1[0.91 - 1.16] AND cholesterol 1 phase1[3.91 - 9.97] AND diabetes history phase1[1] AND triglycerides phase1[1.0 - 5.34],4,41,1354,2.94,79.0,1022.0,1.9268292682926829,0.7548005908419497,0.789247311827957,2.441,1.9430516951776433,3.0674386907692957,7.663010302111192,1.816247702095673e-14,2.552765977757625,2.0305281752689974,3.2093197309776524,8.025408966639901,1.011882696433725e-15,18.03,1101.0,1395
2.5,egfr c phase1[4.18 - 72.28],1,140,1255,10.04,189.0,912.0,1.35,0.7266932270916334,0.789247311827957,1.71,1.4658842957749498,1.9959130697990177,6.8175158101104305,9.262821342545006e-12,1.857730263157895,1.588370577054516,2.1727686098621626,7.7495168702339035,9.224282520547086e-15,14.569,1101.0,1395
6.5,triglycerides phase1[1.0 - 5.34] AND diabetes history phase1[1],2,75,1320,5.38,110.0,991.0,1.4666666666666666,0.7507575757575757,0.789247311827957,1.858,1.5275664319760731,2.2606665825001424,6.196933942239799,5.757364953348046e-10,1.953582240161453,1.604299577125097,2.3789095400208082,6.663416174183126,2.6753466862575886e-11,2.303,1101.0,1395
