,prob
0,0.023331933459226017
1,0.010404500444204691
2,0.013613480892513704
3,0.0539454615255676
4,0.0290433778151179
5,0.0290433778151179
6,0.010003221640067762
7,0.012458019736531696
8,0.02717917639063791
9,0.010003221640067762
10,0.03181152688974305
11,0.00980353364249071
12,0.015769861527565432
13,0.022263471324322333
14,0.0436910696986726
15,0.010404500444204691
16,0.05659856132077783
17,0.016571642635769608
18,0.0117231532502392
19,0.0436910696986726
20,0.030499940334982118
21,0.014522657640250156
22,0.01765337005202539
23,0.014255792276815716
24,0.014038910914366265
25,0.016903337287187174
26,0.04420714218839634
27,0.010003221640067762
28,0.011025890441381041
29,0.03181152688974305
30,0.00980353364249071
31,0.009011423018286838
32,0.011970802790172385
33,0.014418574364247653
34,0.022029050068057828
35,0.01181355858185722
36,0.03351951450279446
37,0.008774860699852812
38,0.00980353364249071
39,0.007647358609211952
40,0.011025890441381041
41,0.02471642502351481
42,0.014418574364247653
43,0.013613480892513704
44,0.010404500444204691
45,0.009446469831844056
46,0.01230521418971671
47,0.014157732004940138
48,0.014157732004940138
49,0.009446469831844056
50,0.010404500444204691
51,0.010404500444204691
52,0.0539454615255676
53,0.015009495399374871
54,0.1427085314714619
55,0.012310660665730352
56,0.07475220604272934
57,0.010391379500611768
58,0.03561701532814485
59,0.012737544488967668
60,0.0375630191683279
61,0.010404500444204691
62,0.010404500444204691
63,0.023331933459226017
64,0.023331933459226017
65,0.012038368960575814
66,0.00980353364249071
67,0.01793710078188195
68,0.007647358609211952
69,0.010391379500611768
70,0.03742726054590344
71,0.007218118839972604
72,0.016699437350583702
73,0.015180481713884541
74,0.05092833422660546
75,0.06987568108973356
76,0.007866520958858935
77,0.012462836063969777
78,0.04523264287634505
79,0.03281638493071572
80,0.04639745831650079
81,0.029798506930185775
82,0.013613480892513704
83,0.007218118839972604
84,0.014157732004940138
85,0.014157732004940138
86,0.04419107688577938
87,0.007218118839972604
88,0.039619204059452434
89,0.0290433778151179
90,0.016937275500649086
91,0.028669597984952763
92,0.015769861527565432
93,0.03036992078563057
94,0.016571642635769608
95,0.0347381379309943
96,0.04422797943620991
97,0.009446469831844056
98,0.010404500444204691
99,0.007218118839972604
100,0.02874377760114086
101,0.04016800955488305
102,0.010404500444204691
103,0.008327354078394867
104,0.016699437350583702
105,0.01170632847258117
106,0.014157732004940138
107,0.01480229476147257
108,0.00980353364249071
109,0.02885027610832464
110,0.012038368960575814
111,0.011025890441381041
112,0.07981511358588314
113,0.010404500444204691
114,0.013517072130889849
115,0.00980353364249071
116,0.00980353364249071
117,0.03181152688974305
118,0.00980353364249071
119,0.013613480892513704
120,0.007218118839972604
121,0.03545119052248203
122,0.007647358609211952
123,0.010404500444204691
124,0.012422427765650687
125,0.05261200884881685
126,0.011411777628329471
127,0.011412951614028676
128,0.03351951450279446
129,0.023331933459226017
130,0.014157732004940138
131,0.033702767446367535
132,0.03181152688974305
133,0.012348368606783372
134,0.013793076341942092
135,0.007218118839972604
136,0.009572350811227369
137,0.007647358609211952
138,0.00980353364249071
139,0.015944315545919185
140,0.014157732004940138
141,0.024098642309605317
142,0.00903682635787178
143,0.030829375880420257
144,0.03181152688974305
145,0.010404500444204691
146,0.007218118839972604
147,0.010404500444204691
148,0.01462476862369204
149,0.014157732004940138
150,0.010404500444204691
151,0.009572350811227369
152,0.011025890441381041
153,0.007218118839972604
154,0.039553421387063005
155,0.01275176380737537
156,0.014418574364247653
157,0.010391379500611768
158,0.012458019736531696
159,0.014157732004940138
160,0.03181152688974305
161,0.03351951450279446
162,0.016571642635769608
163,0.030660963470583086
164,0.01653788326427816
165,0.04563759617863464
166,0.07947663087980503
167,0.012458019736531696
168,0.030853741254991737
169,0.007647358609211952
170,0.011411777628329471
171,0.03181152688974305
172,0.033702767446367535
173,0.010003221640067762
174,0.010003221640067762
175,0.007218118839972604
176,0.03351951450279446
177,0.02874377760114086
178,0.010404500444204691
179,0.023331933459226017
180,0.009446469831844056
181,0.04422797943620991
182,0.007723706746057941
183,0.014157732004940138
184,0.05264602161054795
185,0.023331933459226017
186,0.030853741254991737
187,0.009446469831844056
188,0.013613480892513704
189,0.9838875803073788
190,0.04701586643272538
191,0.03380057935990928
192,0.04701586643272538
193,0.03567371946552004
194,0.10653048416032958
195,0.014223025681656416
196,0.010404500444204691
197,0.008327383602681126
198,0.014157732004940138
199,0.014418574364247653
200,0.010404500444204691
201,0.007218118839972604
202,0.04563759617863464
203,0.007511326805280205
204,0.014157732004940138
205,0.014157732004940138
206,0.009572350811227369
207,0.012462836063969777
208,0.015947407594645798
209,0.014401720876186196
210,0.008327383602681126
211,0.014157732004940138
212,0.010404500444204691
213,0.00980353364249071
214,0.010404500444204691
215,0.011067514477189072
216,0.011500653233374195
217,0.06251618289697422
218,0.015648219163213118
219,0.02272427052531261
220,0.016427631046587426
221,0.015694899882552286
222,0.0399495045512583
223,0.009210424880243385
224,0.046375654209430864
225,0.03561701532814485
226,0.015648219163213118
227,0.023331933459226017
228,0.009446469831844056
229,0.016571642635769608
230,0.009210424880243385
231,0.007218118839972604
232,0.016891438477359796
233,0.010247211265383421
234,0.012416499494989046
235,0.03181152688974305
236,0.011025890441381041
237,0.011330718355457485
238,0.00951567869606493
239,0.0212289636825806
240,0.05264602161054795
241,0.01645672816969247
242,0.014929350029183391
243,0.010247211265383421
244,0.028669597984952763
245,0.008075210182879903
246,0.035747013841344745
247,0.016891438477359796
248,0.014455972700624587
249,0.010127255182084412
250,0.02457434021679189
251,0.012038368960575814
252,0.010731780634077726
253,0.03351951450279446
254,0.011765124084306858
255,0.014157732004940138
256,0.007218118839972604
257,0.015369203218293168
258,0.010247211265383421
259,0.010003221640067762
260,0.013613480892513704
261,0.023331933459226017
262,0.007218118839972604
263,0.013793076341942092
264,0.010003221640067762
265,0.013793076341942092
266,0.007218118839972604
267,0.023331933459226017
268,0.03181152688974305
269,0.03351951450279446
270,0.0199161352360469
271,0.0505656009740188
272,0.010404500444204691
273,0.016492547742703652
274,0.053049805982327065
275,0.0375630191683279
276,0.014929350029183391
277,0.0468012580890233
278,0.03500928812099192
279,0.014455972700624587
280,0.03561701532814485
281,0.015944315545919185
282,0.014991510768619638
283,0.00980353364249071
284,0.014157732004940138
285,0.03899778492085393
286,0.007218118839972604
287,0.013613480892513704
288,0.00980353364249071
289,0.013613480892513704
290,0.014157732004940138
291,0.013613480892513704
292,0.007218118839972604
293,0.013793076341942092
294,0.06926871624520044
295,0.03739113247511213
296,0.010404500444204691
297,0.007218118839972604
298,0.030499940334982118
299,0.019681666340188413
300,0.011624652686185724
301,0.04195704723561964
302,0.044550142356581016
303,0.03293849653174425
304,0.0117231532502392
305,0.00980353364249071
306,0.020770667929235317
307,0.010003221640067762
308,0.011980007392677874
309,0.02471642502351481
310,0.008548203997686412
311,0.033702767446367535
312,0.016492547742703652
313,0.00711725956942448
314,0.013613480892513704
315,0.0539454615255676
316,0.011765124084306858
317,0.02743402426211993
318,0.01462476862369204
319,0.007218118839972604
320,0.04323368381765432
321,0.009757303598258351
322,0.0436910696986726
323,0.022065084176286547
324,0.014255792276815716
325,0.00711725956942448
326,0.01163830333683966
327,0.010247211265383421
328,0.01645672816969247
329,0.007511326805280205
330,0.015694899882552286
331,0.014991510768619638
332,0.014991510768619638
333,0.02151192817203396
334,0.00883104286155265
335,0.009483691831071641
336,0.00711725956942448
337,0.026979891722840564
338,0.022685197806257013
339,0.014410433643469991
340,0.02820472855715068
341,0.013613480892513704
342,0.04563759617863464
343,0.010404500444204691
344,0.016692260456124708
